n_number,first_name,last_name,email,gpa,grad_year,street,city,state,postal_code
N39962,Skell,Slisby,sslisbydd@nyu.edu,3.041,2025,52 Luster Avenue,San Diego,CA,92110
N85249,Billy,Harford,bharfordde@nyu.edu,0.578,2026,925 Derek Avenue,Wilmington,DE,19886
N75762,Crista,Olensby,colensbydf@nyu.edu,2.584,2023,61 Continental Crossing,Richmond,VA,23203
N73947,Bartholomew,Northern,bnortherndg@nyu.edu,3.493,2025,677 Forest Dale Way,Redwood City,CA,94064
N61558,Andonis,Illing,aillingdh@nyu.edu,3.191,2024,50 Banding Center,Youngstown,OH,44555
N67707,Vikky,Luquet,vluquetdi@nyu.edu,3.915,2026,54161 Oak Valley Hill,Fort Pierce,FL,34981
N45105,Benson,Reckus,breckusdj@nyu.edu,3.238,2025,4881 Logan Crossing,Rochester,NY,14646
N63431,Davin,Norwood,dnorwooddk@nyu.edu,2.309,2025,5408 Bay Lane,New York City,NY,10024
N63318,Karel,Entreis,kentreisdl@nyu.edu,1.243,2025,57828 Independence Avenue,Baltimore,MD,21229
N75342,Heall,Burras,hburrasdm@nyu.edu,0.535,2026,783 Weeping Birch Court,Corpus Christi,TX,78470
N81946,Pen,Costellow,pcostellowdn@nyu.edu,2.16,2026,95512 Village Terrace,Iowa City,IA,52245
N66657,Hadley,Yukhnini,hyukhninido@nyu.edu,1.126,2024,6 Anhalt Avenue,Kansas City,MO,64199
N80470,Helenelizabeth,Endecott,hendecottdp@nyu.edu,0.338,2023,11727 Blue Bill Park Place,San Francisco,CA,94137
N80113,Shayna,Sketchley,ssketchleydq@nyu.edu,0.68,2024,6776 Heath Alley,Tulsa,OK,74133
N43532,Estelle,Stephen,estephendr@nyu.edu,0.381,2026,5 Eastwood Plaza,Rockford,IL,61110
N66348,Aeriel,Crockatt,acrockattds@nyu.edu,0.905,2024,343 Eagle Crest Terrace,Louisville,KY,40220
N48739,Hal,Budget,hbudgetdt@nyu.edu,1.045,2025,1 Dorton Street,Fairbanks,AK,99709
N78692,Teresina,Gooderidge,tgooderidgedu@nyu.edu,0.641,2027,48 Coolidge Center,Lafayette,LA,70505
N65589,Wenonah,Wardle,wwardledv@nyu.edu,0.689,2025,6 8th Avenue,Raleigh,NC,27605
N53395,Gaston,Sevier,gsevierdw@nyu.edu,2.189,2024,9 Morningstar Drive,Jamaica,NY,11436
N63401,Fabien,Kingsnorth,fkingsnorthdx@nyu.edu,0.485,2026,16449 Twin Pines Pass,Providence,RI,02905
N77698,Alika,Wingate,awingatedy@nyu.edu,3.269,2027,4305 Scott Way,Baltimore,MD,21290
N87598,Bastian,Kinghorne,bkinghornedz@nyu.edu,0.285,2027,4 South Way,Houston,TX,77293
N59870,Conn,Dring,cdringe0@nyu.edu,3.634,2024,95 Haas Junction,Glendale,CA,91205
N66541,Andreas,Speechly,aspeechlye1@nyu.edu,1.661,2024,9968 Mifflin Pass,Fort Worth,TX,76134
N58211,Ruthie,Gallen,rgallene2@nyu.edu,3.906,2027,38 Florence Avenue,Memphis,TN,38136
N40007,Olag,Tincknell,otincknelle3@nyu.edu,1.804,2023,91 Heath Street,El Paso,TX,88584
N61814,Renard,Rickert,rrickerte4@nyu.edu,2.087,2027,502 Roth Circle,Peoria,IL,61640
N45990,Britte,Maudlin,bmaudline5@nyu.edu,2.847,2026,33 Springs Street,Phoenix,AZ,85045
N59195,Rosemaria,Fuentes,rfuentese6@nyu.edu,0.316,2025,88 Burning Wood Way,Columbus,OH,43204
N51096,Gillan,Orys,goryse7@nyu.edu,2.524,2026,8310 Dennis Avenue,Albany,NY,12232
N78898,Nissa,Tolmie,ntolmiee8@nyu.edu,1.571,2026,1566 International Circle,Lake Worth,FL,33462
N72519,Dianna,Daber,ddabere9@nyu.edu,0.004,2025,44999 Lake View Hill,Sandy,UT,84093
N80797,Victoir,Cancellor,vcancellorea@nyu.edu,1.561,2023,65 Bartelt Center,Columbus,OH,43284
N66761,Lina,Whittleton,lwhittletoneb@nyu.edu,1.062,2026,306 Harper Pass,Portland,OR,97271
N75285,Cymbre,Drackford,cdrackfordec@nyu.edu,0.282,2025,1 Raven Pass,Houston,TX,77212
N67485,Avrom,Dawbury,adawburyed@nyu.edu,2.791,2026,32 Corscot Drive,Carlsbad,CA,92013
N66674,Katha,Coronado,kcoronadoee@nyu.edu,0.465,2026,8837 Northridge Place,Des Moines,IA,50305
N72500,Farah,Belfelt,fbelfeltef@nyu.edu,1.161,2026,148 Eagle Crest Parkway,Minneapolis,MN,55448
N44976,Sayres,Toyer,stoyereg@nyu.edu,1.469,2024,83788 Shasta Terrace,Greensboro,NC,27404
N50815,Hubert,Dictus,hdictuseh@nyu.edu,1.035,2023,8054 Mcguire Point,Pasadena,CA,91103
N75885,Joshuah,Dumsday,jdumsdayei@nyu.edu,3.407,2024,68 Harper Avenue,Frankfort,KY,40618
N59997,Tatiania,Swinerd,tswinerdej@nyu.edu,1.18,2027,766 Northland Lane,Newport News,VA,23612
N61700,Sigmund,McAree,smcareeek@nyu.edu,1.703,2025,1092 Lakeland Street,Orlando,FL,32891
N73927,Ricardo,Aust,raustel@nyu.edu,3.067,2027,99 Onsgard Trail,Tulsa,OK,74133
N44012,Patric,Wellwood,pwellwoodem@nyu.edu,0.187,2027,02 Clyde Gallagher Alley,Tyler,TX,75799
N59960,Gratiana,Yarrall,gyarrallen@nyu.edu,1.617,2024,122 Columbus Crossing,Saint Cloud,MN,56372
N70865,Pincas,Pifford,ppiffordeo@nyu.edu,0.459,2025,6 Nova Circle,Scranton,PA,18514
N88676,Eleanore,Fliege,efliegeep@nyu.edu,0.083,2024,35975 Cottonwood Way,West Palm Beach,FL,33411
N46288,Emmit,Furze,efurzeeq@nyu.edu,3.028,2026,610 Stoughton Pass,Scranton,PA,18505
N72394,Constantin,Bamforth,cbamforther@nyu.edu,3.144,2023,669 Manley Way,Texarkana,TX,75507
N62378,Kevyn,Chesson,kchessones@nyu.edu,0.855,2025,377 Elmside Way,El Paso,TX,88530
N40464,Krystal,Gamlen,kgamlenet@nyu.edu,2.563,2027,14 Westport Park,Arlington,VA,22217
N45761,Korry,O'Noland,konolandeu@nyu.edu,1.513,2024,3 Hermina Circle,Honolulu,HI,96845
N45252,Hildagard,Bourges,hbourgesev@nyu.edu,2.399,2026,3 Fieldstone Junction,Tulsa,OK,74156
N64063,Franzen,Naire,fnaireew@nyu.edu,3.205,2025,88 Ridgeway Parkway,Detroit,MI,48275
N67702,Ninnette,Segoe,nsegoeex@nyu.edu,3.654,2025,677 Elgar Park,Atlanta,GA,31119
N79470,Christiano,Picot,cpicotey@nyu.edu,3.015,2026,88 Longview Road,Dallas,TX,75392
N62643,Valeda,Foxcroft,vfoxcroftez@nyu.edu,2.353,2025,1 Drewry Avenue,Springfield,OH,45505
N60885,Andie,Ellgood,aellgoodf0@nyu.edu,1.725,2025,3 John Wall Center,Abilene,TX,79699
N61947,Dukie,Etheredge,detheredgef1@nyu.edu,0.24,2025,09 Grover Junction,Syracuse,NY,13217
N86845,Alyss,Stroband,astrobandf2@nyu.edu,1.752,2025,8 Rusk Alley,Baltimore,MD,21203
N53094,Kara,Boness,kbonessf3@nyu.edu,2.353,2023,97 Florence Terrace,Salt Lake City,UT,84152
N86996,Shina,Tupper,stupperf4@nyu.edu,0.485,2027,678 Sutherland Circle,Seminole,FL,34642
N39849,Leonhard,Chart,lchartf5@nyu.edu,2.69,2027,00 Cambridge Road,Tucson,AZ,85725
N61926,Orland,Mulhall,omulhallf6@nyu.edu,0.962,2025,20266 Corscot Center,Phoenix,AZ,85015
N74042,Floris,Diperaus,fdiperausf7@nyu.edu,2.27,2026,27510 Northwestern Court,New Brunswick,NJ,08922
N72659,Hale,McGlashan,hmcglashanf8@nyu.edu,3.743,2027,5 North Place,Erie,PA,16522
N59832,Paten,Lehrian,plehrianf9@nyu.edu,0.621,2026,77093 Harper Place,San Francisco,CA,94126
N41652,Fred,Donaghy,fdonaghyfa@nyu.edu,2.545,2027,78 Pierstorff Lane,Vancouver,WA,98682
N63172,Tommy,Brunn,tbrunnfb@nyu.edu,3.707,2023,633 Randy Place,Tuscaloosa,AL,35487
N85562,Flem,Reekie,freekiefc@nyu.edu,2.84,2026,6764 Holy Cross Junction,Ocala,FL,34474
N39125,Isadora,Arlet,iarletfd@nyu.edu,2.006,2025,1 Corscot Parkway,San Francisco,CA,94121
N73120,Dene,Wimmer,dwimmerfe@nyu.edu,3.511,2026,835 Summit Way,Montgomery,AL,36134
N60777,Arney,Brain,abrainff@nyu.edu,0.703,2026,5581 Kings Lane,Jacksonville,FL,32259
N43805,Guendolen,Kloisner,gkloisnerfg@nyu.edu,1.389,2025,6 Scoville Center,Flushing,NY,11388
N48478,Danit,Hillatt,dhillattfh@nyu.edu,1.557,2027,8 Almo Parkway,Brooksville,FL,34605
N56633,Andris,Vasilchikov,avasilchikovfi@nyu.edu,1.707,2023,66 International Circle,Brooklyn,NY,11241
N87680,Godfrey,Letessier,gletessierfj@nyu.edu,0.535,2024,643 Comanche Parkway,Van Nuys,CA,91499
N72033,Larisa,Gullan,lgullanfk@nyu.edu,1.623,2026,0477 Stuart Drive,Fort Myers,FL,33906
N37676,Giustina,Storm,gstormfl@nyu.edu,0.174,2023,865 Kipling Lane,New York City,NY,10160
N83968,Page,Dulake,pdulakefm@nyu.edu,3.161,2027,854 Knutson Center,Portland,OR,97206
N47013,Nolie,Stollsteimer,nstollsteimerfn@nyu.edu,3.947,2025,3 Arizona Park,Lexington,KY,40581
N40402,Vite,Loveridge,vloveridgefo@nyu.edu,1.719,2023,4635 Upham Pass,Washington,DC,20575
N78473,Hans,Grout,hgroutfp@nyu.edu,2.144,2024,0 Fremont Crossing,Utica,NY,13505
N74601,Berry,Flarity,bflarityfq@nyu.edu,0.707,2027,944 Waubesa Pass,Indianapolis,IN,46207
N84822,Shayne,Piche,spichefr@nyu.edu,0.418,2024,57 Bunting Court,Gainesville,FL,32605
N73506,Cory,Hudel,chudelfs@nyu.edu,3.642,2026,12421 Rusk Terrace,Sacramento,CA,95838
N36496,Elvis,Collumbell,ecollumbellft@nyu.edu,2.696,2025,268 Anhalt Plaza,Saint Cloud,MN,56398
N66446,Freddi,Matschuk,fmatschukfu@nyu.edu,0.168,2026,7 Gateway Drive,Hattiesburg,MS,39404
N67829,Valina,Canning,vcanningfv@nyu.edu,2.99,2025,3063 Darwin Place,Denver,CO,80249
N84459,Marni,Veschi,mveschifw@nyu.edu,0.729,2027,097 Carberry Trail,Miami,FL,33147
N44939,Konrad,Powlesland,kpowleslandfx@nyu.edu,3.288,2027,0 Old Gate Park,Amarillo,TX,79118
N44546,Amelia,Hysom,ahysomfy@nyu.edu,3.212,2023,6 Grim Circle,Newark,NJ,07195
N39640,Fidelia,Duerden,fduerdenfz@nyu.edu,1.437,2024,93 Emmet Alley,Syracuse,NY,13217
N58253,Frederic,Bougen,fbougeng0@nyu.edu,2.687,2027,6 Sundown Crossing,Baton Rouge,LA,70810
N70076,Abdul,Warr,awarrg1@nyu.edu,1.823,2024,6050 South Trail,Saint Paul,MN,55166
N46990,Hayley,Backshell,hbackshellg2@nyu.edu,2.166,2024,460 Evergreen Place,Virginia Beach,VA,23454
N40525,Idalia,Basili,ibasilig3@nyu.edu,2.686,2025,54434 Fairfield Street,Cleveland,OH,44125
N87769,Keri,Limpenny,klimpennyg4@nyu.edu,1.794,2023,548 Arkansas Point,Port Charlotte,FL,33954
N83001,Ealasaid,Upstell,eupstellg5@nyu.edu,3.676,2027,73037 Cambridge Parkway,Phoenix,AZ,85083
N71064,Nathalie,Skeermer,nskeermerg6@nyu.edu,1.253,2025,476 Hagan Junction,Grand Junction,CO,81505
N58266,Ambrosio,Peltzer,apeltzerg7@nyu.edu,2.68,2024,12175 School Terrace,Provo,UT,84605
N38331,Felice,Lechelle,flechelleg8@nyu.edu,3.985,2026,65177 Homewood Street,New York City,NY,10160
N68928,Blinny,Mate,bmateg9@nyu.edu,2.552,2024,13641 Lake View Trail,Jersey City,NJ,07305
N35868,Mikol,Mathis,mmathisga@nyu.edu,1.011,2025,605 Pierstorff Place,Palm Bay,FL,32909
N52298,Carlynne,Janaszewski,cjanaszewskigb@nyu.edu,1.436,2026,0929 Laurel Point,Charlotte,NC,28230
N70843,Wendy,Gorham,wgorhamgc@nyu.edu,3.15,2027,77634 Burrows Drive,Atlanta,GA,31196
N49703,Elset,Methingam,emethingamgd@nyu.edu,1.052,2024,8 Carey Way,Sioux Falls,SD,57193
N34917,Margarete,Chanders,mchandersge@nyu.edu,0.282,2025,680 Fair Oaks Junction,Brooklyn,NY,11225
N62648,Yoshiko,Abbotts,yabbottsgf@nyu.edu,1.649,2026,32 Gateway Hill,Pittsburgh,PA,15266
N57324,Worth,Darco,wdarcogg@nyu.edu,2.891,2023,013 Florence Road,Bradenton,FL,34210
N81905,Zeb,O'Howbane,zohowbanegh@nyu.edu,3.067,2023,333 Brickson Park Pass,Cincinnati,OH,45254
N78606,Layne,Millen,lmillengi@nyu.edu,2.21,2025,9 Golden Leaf Junction,Scottsdale,AZ,85271
N62937,Timmie,Wimlet,twimletgj@nyu.edu,3.39,2025,42428 Riverside Avenue,Albany,NY,12247
N42855,Hinda,Streater,hstreatergk@nyu.edu,0.692,2027,22039 Corben Way,Washington,DC,20226
N71946,Lilas,Naisey,lnaiseygl@nyu.edu,0.606,2027,93587 Kennedy Street,North Hollywood,CA,91606
N58008,Keven,Keddie,kkeddiegm@nyu.edu,3.134,2024,202 Eggendart Court,Flint,MI,48555
N54672,Beilul,Ech,bechgn@nyu.edu,1.029,2025,9707 Karstens Parkway,Houston,TX,77293
N72280,Donavon,Grimm,dgrimmgo@nyu.edu,3.575,2027,66904 Ridgeview Avenue,Sacramento,CA,95833
N39233,Terri-jo,Huggins,thugginsgp@nyu.edu,1.021,2027,54 Annamark Point,Salt Lake City,UT,84120
N62944,Cass,Felipe,cfelipegq@nyu.edu,3.972,2027,09 Drewry Court,Tacoma,WA,98411
N74471,Janot,D'Ambrosi,jdambrosigr@nyu.edu,3.606,2027,784 Merrick Center,Van Nuys,CA,91411
N63435,Elena,Stanyland,estanylandgs@nyu.edu,2.378,2026,141 Valley Edge Crossing,Shreveport,LA,71137
N72863,Gherardo,Dykas,gdykasgt@nyu.edu,3.723,2026,49 Atwood Street,San Jose,CA,95128
N72198,Werner,Candie,wcandiegu@nyu.edu,0.169,2023,3 Prentice Point,Charlotte,NC,28205
N78337,Casi,Kears,ckearsgv@nyu.edu,0.708,2027,54725 Weeping Birch Avenue,Bronx,NY,10464
N55873,Nichole,Dowker,ndowkergw@nyu.edu,0.004,2027,6 Summer Ridge Park,Dallas,TX,75260
N66209,Suzy,Hart,shartgx@nyu.edu,2.299,2023,74 Gulseth Drive,Prescott,AZ,86305
N87916,Salvidor,Utridge,sutridgegy@nyu.edu,0.788,2024,20 Esker Road,Buffalo,NY,14215
N84280,Chancey,Bulleyn,cbulleyngz@nyu.edu,3.416,2026,670 Walton Point,Des Moines,IA,50393
N54220,Baryram,Queenborough,bqueenboroughh0@nyu.edu,3.128,2024,73849 Carey Parkway,Brooklyn,NY,11220
N44503,Gareth,Hardage,ghardageh1@nyu.edu,0.296,2025,59 Pennsylvania Park,Houston,TX,77266
N56018,Lurleen,Mitchinson,lmitchinsonh2@nyu.edu,3.87,2024,9 Nobel Way,Northridge,CA,91328
N78137,Lombard,Shearsby,lshearsbyh3@nyu.edu,0.177,2026,19 New Castle Avenue,Cleveland,OH,44105
N44499,Micheline,Barense,mbarenseh4@nyu.edu,0.667,2023,7 Crownhardt Hill,Atlanta,GA,30380
N80586,Catarina,Greggor,cgreggorh5@nyu.edu,0.494,2023,6348 Rusk Plaza,Las Vegas,NV,89120
N37955,Dario,Keeri,dkeerih6@nyu.edu,3.313,2027,21 Emmet Terrace,Champaign,IL,61825
N73009,Jessalin,Olivi,jolivih7@nyu.edu,2.22,2023,8 North Parkway,Orlando,FL,32813
N58728,Kermy,Lalley,klalleyh8@nyu.edu,3.277,2026,7820 Melvin Place,Rockford,IL,61110
N60559,Ava,Leyninye,aleyninyeh9@nyu.edu,2.297,2023,5596 Longview Court,Dallas,TX,75387
N36637,Nance,Sustin,nsustinha@nyu.edu,3.474,2025,05 Monica Lane,Salt Lake City,UT,84145
N60480,Tate,Jeffels,tjeffelshb@nyu.edu,2.08,2026,6146 Pond Lane,Seattle,WA,98175
N86697,Lacy,Pomfrett,lpomfretthc@nyu.edu,1.942,2027,531 Helena Pass,Fresno,CA,93740
N46641,Clare,Matuszinski,cmatuszinskihd@nyu.edu,3.557,2027,4359 Hauk Street,Louisville,KY,40266
N38365,Irina,Brooksbie,ibrooksbiehe@nyu.edu,1.014,2025,7 Green Ridge Center,Tulsa,OK,74156
N66189,Haze,Wagstaff,hwagstaffhf@nyu.edu,3.254,2025,52 Walton Trail,Tucson,AZ,85715
N76779,Stanford,Scandroot,sscandroothg@nyu.edu,1.187,2024,395 Rockefeller Point,Falls Church,VA,22047
N72933,Town,Khadir,tkhadirhh@nyu.edu,0.407,2027,2776 Monterey Point,Reno,NV,89510
N51168,Malynda,Simnell,msimnellhi@nyu.edu,2.949,2027,7407 Buhler Park,Shawnee Mission,KS,66210
N57838,Lianna,Seabert,lseaberthj@nyu.edu,1.642,2024,014 Towne Way,Philadelphia,PA,19141
N84107,Donnell,Gumery,dgumeryhk@nyu.edu,3.018,2025,7 Twin Pines Crossing,Tacoma,WA,98464
N86549,Elmira,Wagge,ewaggehl@nyu.edu,1.648,2024,14 Village Green Lane,Syracuse,NY,13251
N79962,Petrina,Osbaldstone,posbaldstonehm@nyu.edu,0.887,2026,6 Debra Pass,Jamaica,NY,11431
N67140,Jaimie,Slatten,jslattenhn@nyu.edu,2.685,2025,6 Lien Crossing,Boston,MA,02283
N40993,Warden,Kausche,wkauscheho@nyu.edu,3.44,2024,17651 Northland Way,Washington,DC,20016
N50831,Vassili,enzley,venzleyhp@nyu.edu,0.646,2023,6 Harper Road,Rockford,IL,61105
N67273,Ivor,Hewell,ihewellhq@nyu.edu,0.325,2026,31752 Riverside Park,San Diego,CA,92121
N59740,Pearla,Erb,perbhr@nyu.edu,2.745,2023,6358 Laurel Lane,Pompano Beach,FL,33064
N48342,Sholom,Sparsholt,ssparsholths@nyu.edu,1.494,2024,571 3rd Lane,Richmond,VA,23228
N44400,Herby,Simenot,hsimenotht@nyu.edu,3.328,2026,05788 Warner Drive,Fort Wayne,IN,46814
N59563,Neda,Arnley,narnleyhu@nyu.edu,3.346,2026,28232 Golden Leaf Place,Tampa,FL,33633
N85986,Leicester,Shorte,lshortehv@nyu.edu,2.652,2026,44 Anhalt Avenue,Fayetteville,NC,28314
N52799,Elnar,Whitlock,ewhitlockhw@nyu.edu,0.139,2026,0657 Porter Center,San Jose,CA,95160
N50474,Nicholle,Breed,nbreedhx@nyu.edu,0.419,2024,0837 Victoria Trail,Abilene,TX,79699
N64078,Onfre,Stent,ostenthy@nyu.edu,0.581,2026,50 Manitowish Avenue,San Jose,CA,95118
N45608,Glennis,Vallantine,gvallantinehz@nyu.edu,0.447,2023,262 Moulton Plaza,Boston,MA,02114
N38787,Bobbie,Coady,bcoadyi0@nyu.edu,1.963,2025,8 Elmside Place,Iowa City,IA,52245
N64331,Malory,McOmish,mmcomishi1@nyu.edu,1.909,2027,024 Derek Plaza,Duluth,GA,30096
N89282,Peggy,Martinat,pmartinati2@nyu.edu,1.856,2025,9678 Sutteridge Circle,White Plains,NY,10606
N37394,Berkly,Acock,bacocki3@nyu.edu,1.591,2024,39 Vermont Crossing,Washington,DC,20525
N87882,Lauren,Buckenhill,lbuckenhilli4@nyu.edu,1.622,2023,90 Tomscot Circle,Dallas,TX,75226
N35037,Grete,Alyoshin,galyoshini5@nyu.edu,2.201,2026,6 Logan Alley,Santa Ana,CA,92705
N50857,Guglielmo,Heintze,gheintzei6@nyu.edu,1.383,2025,87248 Marquette Junction,Colorado Springs,CO,80940
N82519,Hurleigh,Cowcha,hcowchai7@nyu.edu,1.067,2027,200 Montana Alley,Evanston,IL,60208
N54551,Ermanno,Noon,enooni8@nyu.edu,0.669,2027,2119 Northridge Hill,Humble,TX,77346
N56701,Janeva,Lowdeane,jlowdeanei9@nyu.edu,3.547,2025,0 Aberg Hill,San Antonio,TX,78240
N62575,Miguel,Doggrell,mdoggrellia@nyu.edu,0.173,2026,97450 Bellgrove Trail,Scranton,PA,18505
N85862,Rex,Amorine,ramorineib@nyu.edu,2.433,2023,3 Mayfield Alley,Washington,DC,20430
N62100,Debbi,Berk,dberkic@nyu.edu,2.258,2023,2 Lakewood Street,Chicago,IL,60609
N75470,Sammie,Mandry,smandryid@nyu.edu,0.245,2024,74 Dayton Drive,Conroe,TX,77305
N84050,Corny,Prestidge,cprestidgeie@nyu.edu,2.833,2025,8 Heffernan Place,Aurora,CO,80045
N75722,Shell,List,slistif@nyu.edu,2.483,2023,0 Johnson Court,Jacksonville,FL,32255
N72445,Clemmie,Aishford,caishfordig@nyu.edu,3.376,2027,36 Golden Leaf Crossing,Memphis,TN,38168
N46623,Anny,Jurs,ajursih@nyu.edu,2.96,2025,69 Westport Trail,Wilmington,NC,28405
N69358,Cathy,Idney,cidneyii@nyu.edu,1.367,2027,9969 Drewry Parkway,Cincinnati,OH,45254
N68205,Rhett,Bromfield,rbromfieldij@nyu.edu,1.778,2023,57 Nelson Street,Winston Salem,NC,27110
N62401,Ellerey,Birkmyr,ebirkmyrik@nyu.edu,1.249,2027,0 Dunning Alley,Temple,TX,76505
N37469,Angel,Flather,aflatheril@nyu.edu,2.829,2025,458 Ryan Court,Reading,PA,19605
N72403,Cyb,Scrowson,cscrowsonim@nyu.edu,2.806,2024,72148 Schurz Lane,Saint Paul,MN,55188
N85010,Michel,Stillwell,mstillwellin@nyu.edu,1.922,2023,4310 Petterle Terrace,Providence,RI,02905
N76456,Brod,Mara,bmaraio@nyu.edu,2.149,2027,90 Russell Pass,Mobile,AL,36610
N40698,Byram,Zaple,bzapleip@nyu.edu,2.156,2024,27370 Transport Road,Van Nuys,CA,91499
N40791,Caron,Dwelley,cdwelleyiq@nyu.edu,3.592,2026,3914 Mayer Terrace,Dallas,TX,75372
N66468,Aurel,Cookes,acookesir@nyu.edu,0.395,2026,6024 Warner Street,Nashville,TN,37250
N75886,Dunstan,Schole,dscholeis@nyu.edu,0.11,2025,13762 Heath Court,Atlanta,GA,30358
N64495,Melisande,Felmingham,mfelminghamit@nyu.edu,1.634,2023,4880 Di Loreto Plaza,Harrisburg,PA,17105
N35966,Marjorie,Chessum,mchessumiu@nyu.edu,0.946,2025,48 Maple Center,Houston,TX,77201
N87208,Neron,Bricket,nbricketiv@nyu.edu,3.582,2026,6809 Hagan Plaza,Pittsburgh,PA,15279
N55892,Natala,Mettrick,nmettrickiw@nyu.edu,0.047,2026,9197 Anhalt Parkway,Minneapolis,MN,55428
N87120,Regan,Redpath,rredpathix@nyu.edu,2.943,2025,95824 Myrtle Lane,Naples,FL,33963
N64163,Trista,Stagg,tstaggiy@nyu.edu,0.06,2026,84939 Pennsylvania Court,High Point,NC,27264
N37604,Sidonnie,Curmi,scurmiiz@nyu.edu,2.14,2027,246 Hagan Avenue,Spokane,WA,99210
N84526,Rog,Alleway,rallewayj0@nyu.edu,0.44,2027,94296 Ridgeview Way,Portland,OR,97286
N64715,Kleon,Hegarty,khegartyj1@nyu.edu,0.978,2024,63 Annamark Street,Saint Paul,MN,55123
N53945,Bernete,D'Hooge,bdhoogej2@nyu.edu,0.666,2025,13768 Stephen Court,Great Neck,NY,11024
N70592,Adolphus,Quantick,aquantickj3@nyu.edu,2.161,2025,70 Sycamore Center,Chicago,IL,60641
N86122,Melinda,Thorn,mthornj4@nyu.edu,2.625,2026,13 Carioca Drive,Colorado Springs,CO,80930
N77871,Harlan,Zuan,hzuanj5@nyu.edu,0.925,2025,65 Shopko Alley,West Hartford,CT,06127
N77211,Gwenneth,Macon,gmaconj6@nyu.edu,2.281,2023,4650 Longview Park,Daytona Beach,FL,32118
N56626,Ulrikaumeko,Foskew,ufoskewj7@nyu.edu,0.62,2023,00815 Duke Pass,Boston,MA,02114
N37735,Charyl,Mibourne,cmibournej8@nyu.edu,1.212,2025,044 Goodland Alley,Kalamazoo,MI,49006
N35869,Ezri,Tetford,etetfordj9@nyu.edu,2.157,2025,0 Porter Road,Philadelphia,PA,19109
N88180,Derick,Aveline,davelineja@nyu.edu,2.036,2027,2103 Esch Point,Portsmouth,NH,03804
N86064,Iggie,Nannini,inanninijb@nyu.edu,2.792,2025,54584 Manitowish Drive,Los Angeles,CA,90015
N74871,Fedora,Fairhall,ffairhalljc@nyu.edu,1.372,2023,37 Northridge Crossing,Buffalo,NY,14205
N87316,Shirline,Valler,svallerjd@nyu.edu,0.772,2024,20 Mayer Park,Houston,TX,77250
N84186,Jorey,Kristiansen,jkristiansenje@nyu.edu,0.519,2023,089 Rutledge Trail,Chicago,IL,60663
N35811,Kesley,Loosley,kloosleyjf@nyu.edu,3.118,2024,1614 Division Plaza,Washington,DC,20566
N87040,Aridatha,Moston,amostonjg@nyu.edu,1.385,2027,9 Upham Pass,Pomona,CA,91797
N35479,Glen,Whapples,gwhapplesjh@nyu.edu,0.39,2024,71 Loeprich Crossing,Washington,DC,20420
N88474,Nat,Camois,ncamoisji@nyu.edu,3.258,2025,54829 Oak Valley Alley,San Antonio,TX,78260
N64006,Pebrook,Waber,pwaberjj@nyu.edu,2.912,2024,17 Anniversary Hill,Berkeley,CA,94712
N44597,Doralyn,Jurca,djurcajk@nyu.edu,0.221,2025,37 Comanche Point,Meridian,MS,39305
N84148,Georgie,Wakeman,gwakemanjl@nyu.edu,2.512,2023,11 Del Sol Trail,Philadelphia,PA,19093
N79870,Eleonore,Burghill,eburghilljm@nyu.edu,2.076,2023,930 Laurel Terrace,Cincinnati,OH,45208
N87177,Carmon,Luno,clunojn@nyu.edu,0.033,2026,2533 Spaight Pass,Omaha,NE,68117
N86570,Fairleigh,Yeomans,fyeomansjo@nyu.edu,2.942,2027,0 Merchant Hill,Buffalo,NY,14263
N74918,Camel,Figger,cfiggerjp@nyu.edu,3.923,2024,21130 Transport Point,Atlanta,GA,30306
N40479,Inge,O' Mahony,iomahonyjq@nyu.edu,3.342,2027,6031 Hermina Terrace,Peoria,AZ,85383
N85432,Catlin,Tarver,ctarverjr@nyu.edu,1.599,2024,79 Clove Plaza,Norfolk,VA,23504
N39852,Heinrick,Jakucewicz,hjakucewiczjs@nyu.edu,3.14,2026,63 Prairieview Court,Hartford,CT,06105
N64114,Derek,Jamme,djammejt@nyu.edu,3.9,2024,9935 Memorial Pass,Charlotte,NC,28256
N57327,Neala,Gurdon,ngurdonju@nyu.edu,3.851,2025,93480 Mallory Way,Glendale,AZ,85305
N66074,Launce,Tantrum,ltantrumjv@nyu.edu,3.053,2024,18450 Oriole Circle,Lynchburg,VA,24515
N59777,Marney,Nielson,mnielsonjw@nyu.edu,3.783,2024,65368 Arrowood Avenue,Young America,MN,55557
N40811,Joan,MacGraith,jmacgraithjx@nyu.edu,1.021,2027,09 Crest Line Circle,Naples,FL,34102
N74827,Judon,Wride,jwridejy@nyu.edu,2.056,2026,166 Kingsford Center,Houston,TX,77080
N35820,Jannelle,Schops,jschopsjz@nyu.edu,1.257,2024,5 Farragut Court,Brooklyn,NY,11231
N71840,Kimbell,Jeremaes,kjeremaesk0@nyu.edu,3.672,2024,15 Crescent Oaks Trail,Laurel,MD,20709
N44190,Isis,Lorente,ilorentek1@nyu.edu,3.55,2027,4 Lakewood Crossing,Peoria,IL,61656
N75310,Gregory,Habbershon,ghabbershonk2@nyu.edu,2.601,2027,362 Gerald Road,Salt Lake City,UT,84170
